RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   76     0     0  con    0  1.0D+00  1.1D+00  2.866D-02  1.497D+01
   73   77     0     0  con    0  1.0D+00  1.1D+00  2.469D-02  1.493D+01
   74   78     0     0  con    0  1.0D+00  1.5D+00  2.172D-02  1.487D+01
   75   79     0     0  con    0  1.0D+00  1.5D+00  2.380D-02  1.482D+01
   76   80     0     0  con    0  1.0D+00  1.4D+00  2.443D-02  1.475D+01
   77   81     0     0  con    0  1.0D+00  1.5D+00  2.848D-02  1.467D+01
   78   82     0     0  con    0  1.0D+00  1.2D+00  2.827D-02  1.461D+01
   79   83     0     0  con    0  1.0D+00  9.1D-01  2.377D-02  1.455D+01
   80   84     0     0  con    0  1.0D+00  6.0D-01  2.203D-02  1.452D+01
   81   85     0     0  con    0  1.0D+00  5.2D-01  2.127D-02  1.449D+01
   82   86     0     0  con    0  1.0D+00  8.2D-01  2.351D-02  1.446D+01
   83   87     0     0  con    0  1.0D+00  1.8D+00  3.423D-02  1.440D+01
   84   88     0     0  con    0  1.0D+00  2.7D+00  4.532D-02  1.433D+01
   85   89     0     0  con    0  1.0D+00  1.9D+00  2.340D-02  1.426D+01
   86   90     0     0  con    0  1.0D+00  8.7D-01  9.740D-03  1.420D+01
   87   91     0     0  con    0  1.0D+00  5.4D-01  1.799D-02  1.418D+01
   88   92     0     0  con    0  1.0D+00  3.4D-01  1.721D-02  1.416D+01
   89   93     0     0  con    0  1.0D+00  4.8D-01  1.381D-02  1.413D+01
   90   94     0     0  con    0  1.0D+00  9.5D-01  2.504D-02  1.409D+01
   91   95     0     0  con    0  1.0D+00  1.2D+00  3.318D-02  1.404D+01
   92   96     0     0  con    0  1.0D+00  2.2D+00  3.147D-02  1.399D+01
   93   97     0     0  con    0  1.0D+00  1.7D+00  2.303D-02  1.395D+01
   94   98     0     0  con    0  1.0D+00  6.2D-01  1.172D-02  1.393D+01
   95   99     0     0  con    0  1.0D+00  4.6D-01  9.483D-03  1.391D+01
   96  100     0     0  con    0  1.0D+00  5.5D-01  1.482D-02  1.389D+01
   97  101     0     0  con    0  1.0D+00  1.3D+00  2.171D-02  1.386D+01
   98  102     0     0  con    0  1.0D+00  1.8D+00  2.624D-02  1.381D+01
   99  103     0     0  con    0  1.0D+00  2.0D+00  1.852D-02  1.378D+01
